Year;STATE;Turnout;
2004;Hawaii;48.2;VEP
2004;Idaho;63.2;VEP
2004;Illinois;61.5;VEP
2004;Indiana;54.8;VEP
2004;Iowa;69.9;VEP
2004;Kansas;61.6;VEP
2004;Kentucky;58.7;VEP
2004;Louisiana;61.1;VEP
2004;Maine;73.8;VEP
2004;Maryland;62.9;VEP
2004;Massachusetts;64.2;VEP
2004;Michigan;66.6;VEP
2004;Minnesota;78.4;VEP
2004;Mississippi;55.7;VEP
2004;Missouri;65.3;VEP
2004;Montana;64.4;VEP
2004;Nebraska;62.9;VEP
2004;Nevada;55.3;VEP
2004;New Hampshire;70.9;VEP
2004;New Jersey;63.8;VEP
2004;New Mexico;59;VEP
2004;New York;58;VEP
2004;North Carolina;57.8;VEP
2004;North Dakota;64.8;VEP
2004;Ohio;66.8;VEP
2004;Oklahoma;58.3;VEP
2004;Oregon;72;VEP
2004;Pennsylvania;62.6;VEP
2004;Rhode Island;58.5;VEP
2004;South Carolina;53;VEP
2004;South Dakota;68.2;VEP
2004;Tennessee;56.3;VEP
2004;Texas;53.7;VEP
2004;Utah;58.9;VEP
2004;Vermont;66.3;VEP
2004;Virginia;60.6;VEP
2004;Washington;66.9;VEP
2004;West Virginia;54.1;VEP
2004;Wisconsin;74.8;VEP
2004;Wyoming;65.7;VEP
2002;United States;39.5;VEP
2002;Alabama;41.5;VEP
2002;Alaska;54.2;VEP
2002;Arizona;35.9;VEP
2002;Arkansas;41.3;VEP
2002;California;36.1;VEP
2002;Colorado;46.3;VEP
2002;Connecticut;42.3;VEP
2002;Delaware;41.1;VEP
2002;District of Columbia;30.1;VEP
2002;Florida;45.6;VEP
2002;Georgia;35.4;VEP
2002;Hawaii;43.8;VEP
2002;Idaho;44.7;VEP
2002;Illinois;41.4;VEP
2002;Indiana;33.9;VEP
2002;Iowa;47.9;VEP
2002;Kansas;44;VEP
2002;Kentucky;37.2;VEP
2002;Louisiana;39.4;VEP
2002;Maine;50.8;VEP
2002;Maryland;46.3;VEP
2002;Massachusetts;49.2;VEP
2002;Michigan;44.5;VEP
2002;Minnesota;64.1;VEP
2002;Mississippi;30.1;VEP
2002;Missouri;45.6;VEP
2002;Montana;48.4;VEP
2002;Nebraska;39.9;VEP
2002;Nevada;36.2;VEP
2002;New Hampshire;48.1;VEP
2002;New Jersey;38.1;VEP
2002;New Mexico;38.6;VEP
2002;New York;36.1;VEP
2002;North Carolina;39.7;VEP
2002;North Dakota;48.5;VEP
2002;Ohio;38.8;VEP
2002;Oklahoma;41.2;VEP
2002;Oregon;50.8;VEP
2002;Pennsylvania;38.8;VEP
2002;Rhode Island;44.7;VEP
2002;South Carolina;36.9;VEP
2002;South Dakota;60.7;VEP
2002;Tennessee;39.6;VEP
2002;Texas;34.2;VEP
2002;Utah;37;VEP
2002;Vermont;48.8;VEP
2002;Virginia;29;VEP
2002;Washington;41.8;VEP
2002;West Virginia;31.2;VEP
2002;Wisconsin;45.4;VEP
2002;Wyoming;50.1;VEP
2000;United States;54.2;VEP
2000;Alabama;51.6;VEP
2000;Alaska;68.1;VEP
2000;Arizona;45.6;VEP
2000;Arkansas;47.9;VEP
2000;California;55.7;VEP
2000;Colorado;57.5;VEP
2000;Connecticut;61.9;VEP
2000;Delaware;59;VEP
2000;District of Columbia;48.3;VEP
2000;Florida;55.9;VEP
2000;Georgia;45.8;VEP
2000;Hawaii;44.2;VEP
2000;Idaho;57.2;VEP
2000;Illinois;56.2;VEP
2000;Indiana;49.3;VEP
2000;Iowa;63.2;VEP
2000;Kansas;55.6;VEP
2000;Kentucky;52.2;VEP
2000;Louisiana;56.4;VEP
2000;Maine;67.2;VEP
2000;Maryland;55.5;VEP
2000;Massachusetts;59.9;VEP
2000;Michigan;59.9;VEP
2000;Minnesota;69.5;VEP
2000;Mississippi;49.1;VEP
2000;Missouri;58.2;VEP
2000;Montana;61.6;VEP
2000;Nebraska;56.9;VEP
2000;Nevada;45.2;VEP
2000;New Hampshire;63.9;VEP
2000;New Jersey;56.9;VEP
2000;New Mexico;48.5;VEP
2000;New York;55.1;VEP
2000;North Carolina;50.7;VEP
2000;North Dakota;60.3;VEP
2000;Ohio;56.7;VEP
2000;Oklahoma;49.9;VEP
2000;Oregon;64.9;VEP
2000;Pennsylvania;54.1;VEP
2000;Rhode Island;54.2;VEP
2000;South Carolina;47;VEP
2000;South Dakota;57.7;VEP
2000;Tennessee;49.9;VEP
2000;Texas;49.2;VEP
2000;Utah;53.8;VEP
2000;Vermont;64.1;VEP
2000;Virginia;54;VEP
2000;Washington;60.7;VEP
2000;West Virginia;46.6;VEP
2000;Wisconsin;67.6;VEP
2000;Wyoming;59.2;VEP
1998;United States;38.1;VEP
1998;Alabama;41.2;VEP
1998;Alaska;54.6;VEP
1998;Arizona;31.5;VEP
1998;Arkansas;37.5;VEP
1998;California;43.5;VEP
1998;Colorado;46.1;VEP
1998;Connecticut;42.7;VEP
1998;Delaware;33.4;VEP
1998;District of Columbia;34;VEP
1998;Florida;37.4;VEP
1998;Georgia;33.7;VEP
1998;Hawaii;49;VEP
1998;Idaho;45.2;VEP
1998;Illinois;41;VEP
1998;Indiana;36.5;VEP
1998;Iowa;45.3;VEP
1998;Kansas;38.8;VEP
1998;Kentucky;39.1;VEP
1998;Louisiana;31.3;VEP
1998;Maine;51.6;VEP
1998;Maryland;43;VEP
1998;Massachusetts;43;VEP
1998;Michigan;43.4;VEP
1998;Minnesota;61.9;VEP
1998;Mississippi;27.6;VEP
1998;Missouri;39.6;VEP
1998;Montana;50.7;VEP
1998;Nebraska;45.5;VEP
1998;Nevada;35.3;VEP
1998;New Hampshire;36.3;VEP
1998;New Jersey;32.9;VEP
1998;New Mexico;41.6;VEP
1998;New York;38.6;VEP
1998;North Carolina;35.8;VEP
1998;North Dakota;44.9;VEP
1998;Ohio;41.3;VEP
1998;Oklahoma;36.2;VEP
1998;Oregon;47.2;VEP
1998;Pennsylvania;33.3;VEP
1998;Rhode Island;42.3;VEP
1998;South Carolina;38.1;VEP
1998;South Dakota;49;VEP
1998;Tennessee;23.9;VEP
1998;Texas;29.9;VEP
1998;Utah;35.8;VEP
1998;Vermont;49;VEP
1998;Virginia;23.4;VEP
1998;Washington;48.4;VEP
1998;West Virginia;25.3;VEP
1998;Wisconsin;46.3;VEP
1998;Wyoming;49.9;VEP
1996;United States;51.7;VEP
1996;Alabama;48.8;VEP
1996;Alaska;59.8;VEP
1996;Arizona;45.6;VEP
1996;Arkansas;47.9;VEP
1996;California;53.7;VEP
1996;Colorado;54.5;VEP
1996;Connecticut;59.6;VEP
1996;Delaware;51.2;VEP
1996;District of Columbia;46.6;VEP
1996;Florida;51.9;VEP
1996;Georgia;44.4;VEP
1996;Hawaii;43.9;VEP
1996;Idaho;59.3;VEP
1996;Illinois;52.5;VEP
1996;Indiana;49.6;VEP
1996;Iowa;58.8;VEP
1996;Kansas;57.3;VEP
1996;Kentucky;48.2;VEP
1996;Louisiana;57.8;VEP
1996;Maine;65.2;VEP
1996;Maryland;50.4;VEP
1996;Massachusetts;58.4;VEP
1996;Michigan;55.3;VEP
1996;Minnesota;66.1;VEP
1996;Mississippi;45.9;VEP
1996;Missouri;55.1;VEP
1996;Montana;63.1;VEP
1996;Nebraska;57;VEP
1996;Nevada;40.9;VEP
1996;New Hampshire;58.3;VEP
1996;New Jersey;56.4;VEP
1996;New Mexico;47.4;VEP
1996;New York;51.9;VEP
1996;North Carolina;46.3;VEP
1996;North Dakota;56;VEP
1996;Ohio;55.4;VEP
1996;Oklahoma;51;VEP
1996;Oregon;59.7;VEP
1996;Pennsylvania;49.7;VEP
1996;Rhode Island;54.4;VEP
1996;South Carolina;42.2;VEP
1996;South Dakota;61.1;VEP
1996;Tennessee;47.5;VEP
1996;Texas;46.5;VEP
1996;Utah;50.2;VEP
1996;Vermont;59.3;VEP
1996;Virginia;50.2;VEP
1996;Washington;58.9;VEP
1996;West Virginia;45.9;VEP
1996;Wisconsin;58.4;VEP
1996;Wyoming;61.3;VEP
1994;United States;41.1;VEP
1994;Alabama;38.8;VEP
1994;Alaska;53.4;VEP
1994;Arizona;39.1;VEP
1994;Arkansas;39.8;VEP
1994;California;46.9;VEP
1994;Colorado;42.1;VEP
1994;Connecticut;49.1;VEP
1994;Delaware;38.8;VEP
1994;District of Columbia;44.6;VEP
1994;Florida;42.9;VEP
1994;Georgia;31;VEP
1994;Hawaii;45.6;VEP
1994;Idaho;52.7;VEP
1994;Illinois;38;VEP
1994;Indiana;36.4;VEP
1994;Iowa;48;VEP
1994;Kansas;44.7;VEP
1994;Kentucky;27.7;VEP
1994;Louisiana;27.2;VEP
1994;Maine;55.7;VEP
1994;Maryland;40.5;VEP
1994;Massachusetts;50.1;VEP
1994;Michigan;45.1;VEP
1994;Minnesota;54.5;VEP
1994;Mississippi;31.9;VEP
1994;Missouri;46;VEP
1994;Montana;56.3;VEP
1994;Nebraska;49.8;VEP
1994;Nevada;36.9;VEP
1994;New Hampshire;37.6;VEP
1994;New Jersey;38.1;VEP
1994;New Mexico;41.4;VEP
1994;New York;42.7;VEP
1994;North Carolina;30.3;VEP
1994;North Dakota;50.4;VEP
1994;Ohio;42.3;VEP
1994;Oklahoma;42.7;VEP
1994;Oregon;54.8;VEP
1994;Pennsylvania;39.6;VEP
1994;Rhode Island;50.5;VEP
1994;South Carolina;35.1;VEP
1994;South Dakota;60.1;VEP
1994;Tennessee;38.6;VEP
1994;Texas;37.5;VEP
1994;Utah;41.5;VEP
1994;Vermont;49.5;VEP
1994;Virginia;43.6;VEP
1994;Washington;45.8;VEP
1994;West Virginia;30.5;VEP
1994;Wisconsin;42.4;VEP
1994;Wyoming;59.8;VEP
1992;United States;58.1;VEP
1992;Alabama;55.7;VEP
1992;Alaska;66.3;VEP
1992;Arizona;55.7;VEP
1992;Arkansas;54.3;VEP
1992;California;60.3;VEP
1992;Colorado;62.9;VEP
1992;Connecticut;68.6;VEP
1992;Delaware;58;VEP
1992;District of Columbia;53.3;VEP
1992;Florida;55.9;VEP
1992;Georgia;48.5;VEP
1992;Hawaii;46.9;VEP
1992;Idaho;65.6;VEP
1992;Illinois;62.2;VEP
1992;Indiana;55.4;VEP
1992;Iowa;65.8;VEP
1992;Kansas;63.9;VEP
1992;Kentucky;53.8;VEP
1992;Louisiana;59.7;VEP
1992;Maine;74.3;VEP
1992;Maryland;57.7;VEP
1992;Massachusetts;63.8;VEP
1992;Michigan;63;VEP
1992;Minnesota;73.7;VEP
1992;Mississippi;52.9;VEP
1992;Missouri;63.1;VEP
1992;Montana;69.2;VEP
1992;Nebraska;64.2;VEP
1992;Nevada;53.9;VEP
1992;New Hampshire;66.1;VEP
1992;New Jersey;61.9;VEP
1992;New Mexico;53.1;VEP
1992;New York;56.6;VEP
1992;North Carolina;51.4;VEP
1992;North Dakota;66.6;VEP
1992;Ohio;61.3;VEP
1992;Oklahoma;60.6;VEP
1992;Oregon;68.2;VEP
1992;Pennsylvania;54.9;VEP
1992;Rhode Island;62.8;VEP
1992;South Carolina;46.1;VEP
1992;South Dakota;66.7;VEP
1992;Tennessee;53.2;VEP
1992;Texas;54.2;VEP
1992;Utah;64;VEP
1992;Vermont;69;VEP
1992;Virginia;55.4;VEP
1992;Washington;64;VEP
1992;West Virginia;50.1;VEP
1992;Wisconsin;69.9;VEP
1992;Wyoming;61.9;VEP
1990;United States;38.4;VEP
1990;Alabama;41.1;VEP
1990;Alaska;53.4;VEP
1990;Arizona;41.8;VEP
1990;Arkansas;40.7;VEP
1990;California;42.4;VEP
1990;Colorado;43.2;VEP
1990;Connecticut;47.9;VEP
1990;Delaware;37;VEP
1990;District of Columbia;38.3;VEP
1990;Florida;38.6;VEP
1990;Georgia;31.6;VEP
1990;Hawaii;45.4;VEP
1990;Idaho;46.5;VEP
1990;Illinois;40.6;VEP
1990;Indiana;36.8;VEP
1990;Iowa;48.4;VEP
1990;Kansas;44.1;VEP
1990;Kentucky;33.6;VEP
1990;Louisiana;47.2;VEP
1990;Maine;57.3;VEP
1990;Maryland;32.7;VEP
1990;Massachusetts;53.4;VEP
1990;Michigan;38.3;VEP
1990;Minnesota;57.6;VEP
1990;Mississippi;20.2;VEP
1990;Missouri;36.2;VEP
1990;Montana;55.7;VEP
1990;Nebraska;52.5;VEP
1990;Nevada;37.4;VEP
1990;New Hampshire;36.2;VEP
1990;New Jersey;35.7;VEP
1990;New Mexico;40;VEP
1990;New York;33.1;VEP
1990;North Carolina;41.9;VEP
1990;North Dakota;50.7;VEP
1990;Ohio;43.6;VEP
1990;Oklahoma;40.5;VEP
1990;Oregon;54.1;VEP
1990;Pennsylvania;34.1;VEP
1990;Rhode Island;50.2;VEP
1990;South Carolina;30;VEP
1990;South Dakota;52.3;VEP
1990;Tennessee;21.8;VEP
1990;Texas;35.3;VEP
1990;Utah;40.7;VEP
1990;Vermont;50.9;VEP
1990;Virginia;25.5;VEP
1990;Washington;38.4;VEP
1990;West Virginia;30;VEP
1990;Wisconsin;39;VEP
1990;Wyoming;51.2;VEP
1988;United States;52.8;VEP
1988;Alabama;47.5;VEP
1988;Alaska;56.4;VEP
1988;Arizona;47.7;VEP
1988;Arkansas;49;VEP
1988;California;55.7;VEP
1988;Colorado;59;VEP
1988;Connecticut;60.7;VEP
1988;Delaware;52.9;VEP
1988;District of Columbia;42.5;VEP
1988;Florida;49;VEP
1988;Georgia;40.6;VEP
1988;Hawaii;47.9;VEP
1988;Idaho;61.3;VEP
1988;Illinois;57.3;VEP
1988;Indiana;54.3;VEP
1988;Iowa;60.6;VEP
1988;Kansas;56;VEP
1988;Kentucky;49.3;VEP
1988;Louisiana;55.4;VEP
1988;Maine;62.5;VEP
1988;Maryland;51.6;VEP
1988;Massachusetts;60;VEP
1988;Michigan;55.5;VEP
1988;Minnesota;67.9;VEP
1988;Mississippi;52;VEP
1988;Missouri;56.6;VEP
1988;Montana;64.4;VEP
1988;Nebraska;58.8;VEP
1988;Nevada;45.6;VEP
1988;New Hampshire;56.4;VEP
1988;New Jersey;57;VEP
1988;New Mexico;52;VEP
1988;New York;52.7;VEP
1988;North Carolina;44.5;VEP
1988;North Dakota;63.7;VEP
1988;Ohio;55.8;VEP
1988;Oklahoma;52.1;VEP
1988;Oregon;60.6;VEP
1988;Pennsylvania;51;VEP
1988;Rhode Island;56.1;VEP
1988;South Carolina;40.2;VEP
1988;South Dakota;63.4;VEP
1988;Tennessee;46.1;VEP
1988;Texas;50.1;VEP
1988;Utah;62;VEP
1988;Vermont;60.1;VEP
1988;Virginia;49.8;VEP
1988;Washington;56.8;VEP
1988;West Virginia;48.5;VEP
1988;Wisconsin;62.8;VEP
1988;Wyoming;56;VEP
1986;United States;38.1;VEP
1986;Alabama;43.1;VEP
1986;Alaska;51.4;VEP
1986;Arizona;37.4;VEP
1986;Arkansas;41.4;VEP
1986;California;43.4;VEP
1986;Colorado;45.9;VEP
1986;Connecticut;42.4;VEP
1986;Delaware;35.3;VEP
1986;District of Columbia;28.3;VEP
1986;Florida;40.9;VEP
1986;Georgia;28.5;VEP
1986;Hawaii;46.7;VEP
1986;Idaho;58.4;VEP
1986;Illinois;39.7;VEP
1986;Indiana;39.4;VEP
1986;Iowa;45.1;VEP
1986;Kansas;47.8;VEP
1986;Kentucky;25.5;VEP
1986;Louisiana;45.4;VEP
1986;Maine;49.7;VEP
1986;Maryland;34.6;VEP
1986;Massachusetts;38.9;VEP
1986;Michigan;36.8;VEP
1986;Minnesota;46.8;VEP
1986;Mississippi;29.4;VEP
1986;Missouri;40.4;VEP
1986;Montana;55.6;VEP
1986;Nebraska;50.3;VEP
1986;Nevada;37.4;VEP
1986;New Hampshire;33;VEP
1986;New Jersey;28.8;VEP
1986;New Mexico;40;VEP
1986;New York;35;VEP
1986;North Carolina;34.2;VEP
1986;North Dakota;61;VEP
1986;Ohio;40.1;VEP
1986;Oklahoma;39.7;VEP
1986;Oregon;54.9;VEP
1986;Pennsylvania;38.4;VEP
1986;Rhode Island;43;VEP
1986;South Carolina;31.5;VEP
1986;South Dakota;60.1;VEP
1986;Tennessee;34.8;VEP
1986;Texas;31.9;VEP
1986;Utah;42.5;VEP
1986;Vermont;50.5;VEP
1986;Virginia;29.1;VEP
1986;Washington;42.4;VEP
1986;West Virginia;29.9;VEP
1986;Wisconsin;44.5;VEP
1986;Wyoming;50.1;VEP
1984;United States;55.2;VEP
1984;Alabama;50.9;VEP
1984;Alaska;60.5;VEP
1984;Arizona;47.7;VEP
1984;Arkansas;53;VEP
1984;California;57.2;VEP
1984;Colorado;57.1;VEP
1984;Connecticut;63.8;VEP
1984;Delaware;57.5;VEP
1984;District of Columbia;44.8;VEP
1984;Florida;52.4;VEP
1984;Georgia;43.1;VEP
1984;Hawaii;48.4;VEP
1984;Idaho;62;VEP
1984;Illinois;60.8;VEP
1984;Indiana;57;VEP
1984;Iowa;64.1;VEP
1984;Kansas;58.4;VEP
1984;Kentucky;51.8;VEP
1984;Louisiana;56.5;VEP
1984;Maine;65.8;VEP
1984;Maryland;53.8;VEP
1984;Massachusetts;59.9;VEP
1984;Michigan;59.3;VEP
1984;Minnesota;69.9;VEP
1984;Mississippi;53.3;VEP
1984;Missouri;58.7;VEP
1984;Montana;66.4;VEP
1984;Nebraska;57.5;VEP
1984;Nevada;43.6;VEP
1984;New Hampshire;54.1;VEP
1984;New Jersey;60.5;VEP
1984;New Mexico;53.8;VEP
1984;New York;55.6;VEP
1984;North Carolina;48.2;VEP
1984;North Dakota;64;VEP
1984;Ohio;58.8;VEP
1984;Oklahoma;54;VEP
1984;Oregon;64.3;VEP
1984;Pennsylvania;55.1;VEP
1984;Rhode Island;58.8;VEP
1984;South Carolina;41.6;VEP
1984;South Dakota;64.3;VEP
1984;Tennessee;50.1;VEP
1984;Texas;51;VEP
1984;Utah;63;VEP
1984;Vermont;61.5;VEP
1984;Virginia;52.4;VEP
1984;Washington;61.3;VEP
1984;West Virginia;52.9;VEP
1984;Wisconsin;64.9;VEP
1984;Wyoming;55.8;VEP
1982;United States (Excl, Louisiana);42.1;VEP
1982;Alabama;40.6;VEP
1982;Alaska;63.4;VEP
1982;Arizona;36;VEP
1982;Arkansas;48.1;VEP
1982;California;48.7;VEP
1982;Colorado;43.5;VEP
1982;Connecticut;48.1;VEP
1982;Delaware;44.4;VEP
1982;District of Columbia;25;VEP
1982;Florida;35.5;VEP
1982;Georgia;29.6;VEP
1982;Hawaii;46.5;VEP
1982;Idaho;50.2;VEP
1982;Illinois;46.5;VEP
1982;Indiana;46.8;VEP
1982;Iowa;50.2;VEP
1982;Kansas;44;VEP
1982;Kentucky;26.8;VEP
1982;Louisiana;;VEP
1982;Maine;56.3;VEP
1982;Maryland;37.5;VEP
1982;Massachusetts;49;VEP
1982;Michigan;47.8;VEP
1982;Minnesota;61.3;VEP
1982;Mississippi;37;VEP
1982;Missouri;43.3;VEP
1982;Montana;56.4;VEP
1982;Nebraska;48.5;VEP
1982;Nevada;38.7;VEP
1982;New Hampshire;41.2;VEP
1982;New Jersey;42;VEP
1982;New Mexico;44.3;VEP
1982;New York;43.4;VEP
1982;North Carolina;30.4;VEP
1982;North Dakota;55;VEP
1982;Ohio;44.1;VEP
1982;Oklahoma;38.4;VEP
1982;Oregon;55;VEP
1982;Pennsylvania;42.1;VEP
1982;Rhode Island;50;VEP
1982;South Carolina;29.7;VEP
1982;South Dakota;56.9;VEP
1982;Tennessee;37.5;VEP
1982;Texas;31.2;VEP
1982;Utah;55.1;VEP
1982;Vermont;45.4;VEP
1982;Virginia;35.7;VEP
1982;Washington;45.6;VEP
1982;West Virginia;40.4;VEP
